[pilot][0-0][raw_rssi]:236, [spredRSSI]:232, [raw_data]:0
[0-1][raw_rssi]:234, [spredRSSI]:232, [raw_data]:0
[0-2][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[0-3][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[0-4][raw_rssi]:232, [spredRSSI]:235, [raw_data]:da
[0-5][raw_rssi]:232, [spredRSSI]:235, [raw_data]:f0
[0-6][raw_rssi]:232, [spredRSSI]:236, [raw_data]:3
[0-7][raw_rssi]:232, [spredRSSI]:237, [raw_data]:0
[pilot][0-8][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[0-9][raw_rssi]:232, [spredRSSI]:234, [raw_data]:0
[0-10][raw_rssi]:232, [spredRSSI]:234, [raw_data]:0
[0-11][raw_rssi]:233, [spredRSSI]:233, [raw_data]:0
[0-12][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[0-13][raw_rssi]:236, [spredRSSI]:232, [raw_data]:0
[0-14][raw_rssi]:237, [spredRSSI]:232, [raw_data]:0
[0-15][raw_rssi]:236, [spredRSSI]:232, [raw_data]:0
[pilot][0-16][raw_rssi]:234, [spredRSSI]:232, [raw_data]:0
[0-17][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[0-18][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[0-19][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-20][raw_rssi]:232, [spredRSSI]:232, [raw_data]:d
[0-21][raw_rssi]:232, [spredRSSI]:232, [raw_data]:f0
[0-22][raw_rssi]:232, [spredRSSI]:232, [raw_data]:a
[0-23][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][0-24][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-25][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-26][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-27][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-28][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-29][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-30][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[0-31][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[pilot][0-32][raw_rssi]:233, [spredRSSI]:233, [raw_data]:0
[0-33][raw_rssi]:233, [spredRSSI]:233, [raw_data]:0
[0-34][raw_rssi]:233, [spredRSSI]:233, [raw_data]:0
[0-35][raw_rssi]:233, [spredRSSI]:233, [raw_data]:0
[0-36][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-37][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-38][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-39][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][0-40][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-41][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-42][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-43][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-44][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-45][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-46][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[0-47][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[pilot][0-48][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[0-49][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[0-50][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[0-51][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[0-52][raw_rssi]:233, [spredRSSI]:233, [raw_data]:0
[0-53][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[0-54][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[0-55][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[pilot][0-56][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[0-57][raw_rssi]:233, [spredRSSI]:233, [raw_data]:0
[0-58][raw_rssi]:233, [spredRSSI]:233, [raw_data]:0
[0-59][raw_rssi]:233, [spredRSSI]:233, [raw_data]:0
[0-60][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[0-61][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[0-62][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[0-63][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[pilot][0-64][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[0-65][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[0-66][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[0-67][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-68][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-69][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-70][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-71][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][0-72][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-73][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-74][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-75][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-76][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-77][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-78][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-79][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][0-80][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-81][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-82][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-83][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[0-84][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[0-85][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[0-86][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[0-87][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[pilot][0-88][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[0-89][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[0-90][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[0-91][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[0-92][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[0-93][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[0-94][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[0-95][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[pilot][1-0][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-1][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-2][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-3][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-4][raw_rssi]:234, [spredRSSI]:232, [raw_data]:0
[1-5][raw_rssi]:234, [spredRSSI]:232, [raw_data]:0
[1-6][raw_rssi]:234, [spredRSSI]:232, [raw_data]:0
[1-7][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[pilot][1-8][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-9][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-10][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-11][raw_rssi]:232, [spredRSSI]:232, [raw_data]:90
[1-12][raw_rssi]:232, [spredRSSI]:232, [raw_data]:d
[1-13][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[1-14][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[1-15][raw_rssi]:232, [spredRSSI]:235, [raw_data]:0
[pilot][1-16][raw_rssi]:232, [spredRSSI]:236, [raw_data]:0
[1-17][raw_rssi]:232, [spredRSSI]:237, [raw_data]:0
[1-18][raw_rssi]:232, [spredRSSI]:237, [raw_data]:0
[1-19][raw_rssi]:233, [spredRSSI]:235, [raw_data]:0
[1-20][raw_rssi]:235, [spredRSSI]:234, [raw_data]:0
[1-21][raw_rssi]:236, [spredRSSI]:232, [raw_data]:0
[1-22][raw_rssi]:237, [spredRSSI]:232, [raw_data]:0
[1-23][raw_rssi]:235, [spredRSSI]:232, [raw_data]:0
[pilot][1-24][raw_rssi]:234, [spredRSSI]:232, [raw_data]:0
[1-25][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-26][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-27][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-28][raw_rssi]:232, [spredRSSI]:232, [raw_data]:f0
[1-29][raw_rssi]:232, [spredRSSI]:232, [raw_data]:dd
[1-30][raw_rssi]:232, [spredRSSI]:232, [raw_data]:a0
[1-31][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][1-32][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
