[0-50][est]:0.775548465916, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-51][est]:0.775548465916, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-52][est]:0.775548465916, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-53][est]:0.775548465916, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-54][est]:0.775548465916, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-55][est]:0.775548465916, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-56][est]:0.775548465916, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-57][est]:0.812614825473, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]35.8615788284,[2]35.8615788284 
[0-58][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]35.8615788284 
[0-59][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-60][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-61][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-62][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-63][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-64][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-65][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-66][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-67][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-68][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-69][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-70][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-71][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-72][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-73][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-74][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-75][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
